Density of gas,Density of liquid,Viscosity of gas,Viscosity of liquid,Surface tension of liquid, Inner diameter,Packing height ,Particle diameter,Bed Porosity,Superficial Gas Velocity,Superficial Liquid  Velocity,Experimental Liquid Holdup
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.0048,0.36,3.68E-02,4.69E-03,0.127704388
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.0048,0.36,3.68E-02,9.39E-03,0.1865681293
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.0048,0.36,3.68E-02,1.38E-02,0.3302355658
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.0048,0.36,3.68E-02,1.85E-02,0.3561755196
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.00445,0.38,9.34E-03,1.38E-02,0.2470865669
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.00445,0.38,1.84E-02,1.38E-02,0.2708425983
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.00445,0.38,2.75E-02,1.38E-02,0.284889886
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.00445,0.38,3.65E-02,1.38E-02,0.2795196866
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.00462,0.36,1.84E-02,1.38E-02,0.3475712069
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.00462,0.36,2.75E-02,1.38E-02,0.296480922
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.00462,0.36,3.67E-02,1.38E-02,0.2882856186
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.0048,0.36,2.75E-02,1.38E-02,0.3036207907
1.293,997,1.83E-05,1.82E-04,7.21E-02,0.152,1.25,0.0048,0.36,3.68E-02,1.38E-02,0.343472161
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.014,0.001578259578,0.1455375705
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.014,0.002401544402,0.1620656371
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.014,0.003802791803,0.1977724978
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.014,0.004874962875,0.227955153
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.014,0.006627264627,0.2447356697
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.03,0.001502885316,0.1265449045
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.03,0.002346910191,0.1415737576
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.03,0.003791528937,0.1820662222
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.03,0.004826040675,0.1995742058
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.03,0.005806767886,0.2222645526
1.2,997,1.80E-05,8.90E-04,7.30E-02,0.07,1.5,0.0031,0.39,0.03,0.007520029133,0.2342680262
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.01464322402,0.005193580742,0.1263041117
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.0428016371,0.005193580742,0.1282594689
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.1192298129,0.005193580742,0.1206150893
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.1975620133,0.005193580742,0.1243785645
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.2836718191,0.005193580742,0.1134263215
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.4409468733,0.005193580742,0.1083173439
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.6235344467,0.005193580742,0.1034384861
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.7894400935,0.005193580742,0.09727345932
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.9687679809,0.005193580742,0.09433013663
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.01450531343,0.02679939819,0.2299447444
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.04300288698,0.02679939819,0.2002515792
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.05710114083,0.02679939819,0.1941923209
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.1140885091,0.02679939819,0.1639987797
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.279956702,0.02679939819,0.1450323977
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.4349608757,0.02679939819,0.1322614668
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.6246448936,0.02679939819,0.1224823728
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.7784713025,0.02679939819,0.1151823133
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.01390961035,0.02679939819,0.238699008
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.04233000284,0.02679939819,0.2008912268
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.0553751562,0.02679939819,0.1970787956
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.114810506,0.02679939819,0.1690718589
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.2670842618,0.02679939819,0.1478508505
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.4233000284,0.02679939819,0.1369429065
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.5979271828,0.02679939819,0.1244326023
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00809,0.337,0.7527457248,0.02679939819,0.1174819021
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.01445378635,0.02679939819,0.2872956526
1.184,997,1.86E-05,8.90E-04,7.21E-02,0.0924,1.835,0.00314,0.707,0.04233000284,0.02679939819,0.2818434736
